node_id,count,A,r,cL,word,R4,R4_decimal,in_range,impossible,mod_4A
39,0,90,19197993,9502334820461664441496799988439,2.1.1.1.1.2.2.1.1.1.2.1.1.3.2.2.1.1.1.1.1.2.1.1.1.2.1.2.1.1.1.2.1.2.3.1.1.1.1.1.1.2.1.1.2.2.1.1.1.3.2.1.1.1.2.2.1.2.2.1.1.1.1.2,491884397286081114565086673309499132960556389678419175553194883334026364617126938303470014176973358648061993,491884397286081114565086673309499132960556389678419175553194883334026364617126938303470014176973358648061993,False,True,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976
40,0,90,11581665,8980712485738002682717970573855,2.2.1.1.1.1.1.1.1.1.1.1.2.1.1.1.2.1.1.1.2.1.1.1.1.2.4.2.1.1.1.2.1.1.2.1.1.2.1.1.2.2.1.1.1.3.3.1.1.1.1.2.1.1.1.3.3.3.1.1.1.1.1.1,1604989291550992233651387360331331541441816244507267796670133449070637906796337275947746833643419651263215841,1604989291550992233651387360331331541441816244507267796670133449070637906796337275947746833643419651263215841,False,True,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976
41,0,90,8678241,16470190201812384299785309845407,2.2.1.1.2.1.1.1.2.1.1.2.1.1.1.4.2.1.1.2.1.1.3.1.1.1.1.3.1.1.1.2.1.2.2.1.2.1.1.2.1.1.2.1.2.1.1.1.1.1.2.1.1.1.2.1.1.1.1.2.1.1.1.3,1032009311168511062794564058869890770460165893694820170965192364673722279627235252247133888217422743183059809,1032009311168511062794564058869890770460165893694820170965192364673722279627235252247133888217422743183059809,False,True,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976
42,0,90,7955437,34127033773720740122348651979539,3.2.1.2.1.1.1.1.2.1.1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.2.2.1.1.1.1.4.1.1,926092493089058275107389239367433974012862634590941596999908802311376082110884452131227692273554606503060461,926092493089058275107389239367433974012862634590941596999908802311376082110884452131227692273554606503060461,False,True,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976
43,0,91,14658047,3695334236648476276749244371713,1.1.1.1.1.1.1.1.2.1.1.1.2.1.1.1.2.1.1.1.1.2.4.2.1.1.1.2.1.1.2.1.1.2.1.1.2.2.1.1.1.3.3.1.1.1.1.2.1.1.1.3.3.3.1.1.1.1.1.1.1.1.1.4,19656727867554980667749221698553059234049308982719152509992448370050995297810877099167043109745100007537617407,19656727867554980667749221698553059234049308982719152509992448370050995297810877099167043109745100007537617407,False,True,37576681324381331646231689548629392438010920782533117931316655544515344401833735095419183974156299248510959616
44,0,91,13659775,3643405973747613510102005960321,1.1.1.1.1.1.2.1.1.1.1.1.1.1.1.1.1.1.1.2.1.1.1.1.1.1.1.1.3.2.1.3.1.1.1.2.2.1.1.1.1.3.1.1.1.1.3.1.2.1.1.4.3.2.2.2.1.1.2.1.2.1.3.2,5464183529446196433657034900772736388167808817792322385084946097218997671250184563959296671980098757300612735,5464183529446196433657034900772736388167808817792322385084946097218997671250184563959296671980098757300612735,False,True,37576681324381331646231689548629392438010920782533117931316655544515344401833735095419183974156299248510959616
45,0,91,6858175,3815292885994450829567294134081,1.1.1.1.1.2.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.3.1.1.1.1.3.1.2.1.1.1.2.1.2.2.5.1.2.1.2.2.1.3.2.1.1.1.2.1.5.1.2.2.1.1.1.2.1.1.1.1,5706808126371451907613618324198933902473639447112029853238868163536126992774275102842980217109149104044811711,5706808126371451907613618324198933902473639447112029853238868163536126992774275102842980217109149104044811711,False,True,37576681324381331646231689548629392438010920782533117931316655544515344401833735095419183974156299248510959616
46,0,91,16825535,7422352945738542402676797489217,1.1.1.1.1.2.3.1.1.1.1.2.3.1.2.1.1.2.1.1.1.1.1.1.1.1.4.1.2.1.2.3.1.1.1.1.1.1.1.3.3.1.2.1.1.1.1.1.2.1.2.1.3.1.1.2.1.1.3.1.1.1.1.1,23654967264516486566525635792407553499675047049962807655446594636327823264594413441544720754514776345335086271,23654967264516486566525635792407553499675047049962807655446594636327823264594413441544720754514776345335086271,False,True,37576681324381331646231689548629392438010920782533117931316655544515344401833735095419183974156299248510959616
47,0,91,18984255,6293083930159626459506558685121,1.1.1.1.1.3.1.2.1.1.2.1.3.1.1.1.1.1.1.1.2.2.2.1.1.1.1.1.2.1.2.2.1.1.1.1.1.1.1.1.1.2.1.3.2.1.2.1.1.1.1.2.2.1.5.3.1.1.2.2.1.1.1.1,28497077726311088483314356585763664694030685150826314913283967504809328280595349258027496182663524887432375615,28497077726311088483314356585763664694030685150826314913283967504809328280595349258027496182663524887432375615,False,True,37576681324381331646231689548629392438010920782533117931316655544515344401833735095419183974156299248510959616
48,0,91,11174719,35389779996920202958803380861377,1.1.1.1.1.3.2.2.3.1.3.1.1.1.2.1.1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.2.2.1,22255739707607306651972277758983334427787076521454305281470189503185022513632234143353939757431951300592567103,22255739707607306651972277758983334427787076521454305281470189503185022513632234143353939757431951300592567103,False,True,37576681324381331646231689548629392438010920782533117931316655544515344401833735095419183974156299248510959616
