node_id,count,A,r,cL,word
70,0,92,10392289,13416916336186214932155653640223,2.2.1.1.1.1.2.1.1.3.1.1.1.3.2.1.1.1.1.1.1.2.1.1.1.2.1.1.1.2.2.2.1.1.1.1.1.2.2.1.1.2.1.2.1.1.3.1.1.2.1.2.1.1.1.1.1.1.4.1.2.1.1.4
71,0,92,14899617,75798754578278827476853384726879,2.2.1.2.2.1.2.3.2.1.2.1.1.1.1.2.1.1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.2.2
72,0,92,12972669,20867578523858769122206388438147,3.1.1.1.2.1.1.1.2.2.2.1.3.1.1.2.1.1.1.2.1.1.2.1.1.1.2.1.1.1.1.2.2.1.1.1.2.1.1.2.1.1.1.1.1.2.1.4.2.1.1.1.1.2.1.1.1.1.2.2.1.2.2.3
73,0,92,13424805,40207815206719555891959431911003,4.1.1.1.1.2.1.1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.2.2.1.1.1.1.4.1.1.1.1.4
74,0,93,13002751,3527677774304892852961962644737,1.1.1.1.1.1.1.1.1.1.2.1.1.1.1.1.1.1.1.1.3.1.1.1.1.1.1.2.1.2.2.3.3.2.1.1.2.1.1.4.1.1.2.3.1.1.1.1.1.2.1.1.1.3.1.1.2.1.3.1.2.4.2.1
75,0,93,16817151,4103887360552880842546475049217,1.1.1.1.1.1.1.1.1.2.1.1.1.1.3.1.1.1.2.4.1.2.1.1.1.1.2.3.1.4.1.1.1.1.1.1.1.1.3.1.1.1.1.1.1.1.1.3.2.1.1.1.2.1.1.1.4.1.1.1.2.6.1.1
76,0,93,4828799,3737727627772624522912840322689,1.1.1.1.1.1.2.1.1.1.1.1.2.1.1.1.1.2.1.1.1.1.1.1.1.1.1.1.1.2.4.2.1.1.2.1.1.2.1.3.2.1.1.1.2.1.2.1.1.1.1.4.1.4.2.4.2.2.1.2.1.1.2.1
77,0,93,18539135,4270105811176613164346960992897,1.1.1.1.1.1.2.1.2.1.2.1.1.1.2.1.1.1.2.2.1.2.2.1.1.1.1.2.1.1.2.1.1.2.2.1.1.4.1.1.1.1.2.1.1.1.2.1.1.2.1.1.2.3.1.1.1.6.3.2.1.1.1.1
78,0,93,14335967,23039787841561949451914783202593,1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.2.2.1.1.1.1.4.1.1.1.1.4.3.1.2.1.2.1.2
79,0,93,11869423,5757595915434810598652939890705,1.1.1.2.1.1.1.1.1.3.1.1.1.1.1.1.2.2.1.3.2.1.2.3.2.1.1.1.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.1.2.1.1.1.3.2.1.2.4.1.1.1.1.1.1.3.1.1.5.1
80,0,93,19083887,12369312016014497283515659246225,1.1.1.2.1.2.2.2.1.2.1.2.1.1.1.1.1.1.1.2.1.2.1.1.5.2.1.3.2.1.1.1.1.1.2.1.1.3.2.1.1.1.2.2.1.1.2.1.1.2.1.1.1.1.3.2.1.1.1.1.1.2.2.1
